threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.35,0,66,0.5378046809749814,0.5378046809749814,0.536265306111171,66,64,5,0,nan,0,0.5870646766169154,2,0.35773764161748284,24,0.5380124292456512,18,0.7295932939033473,22
0.35,3,66,0.5379527009698598,0.5379527009698598,0.5364179517308894,66,64,7,0,nan,0,0.5870646766169154,2,0.3581432943570233,24,0.5380368715252576,18,0.7295748253978964,22
0.35,5,66,0.5381123033045134,0.5381123033045134,0.5365825416385007,66,64,7,0,nan,0,0.5870646766169154,2,0.358536228403715,24,0.5381253283892576,18,0.7295526032803751,22
0.35,10,66,0.5381506835056148,0.5381506835056148,0.5366221212208866,66,64,7,0,nan,0,0.5870646766169154,2,0.3585246720448178,24,0.5381913417605545,18,0.7296263398805063,22
0.35,20,66,0.538263271795698,0.538263271795698,0.536738227895035,66,64,7,0,nan,0,0.5870646766169154,2,0.3582828740970305,24,0.538797887590013,18,0.7297316195606031,22
0.4,0,66,0.53714184341508,0.53714184341508,0.5355817548775226,66,64,5,0,nan,0,0.5870646766169154,2,0.3575992583868917,24,0.536870525100282,18,0.7286900299577713,22
0.4,3,66,0.5372957100385616,0.5372957100385616,0.535740429832988,66,64,7,0,nan,0,0.5870646766169154,2,0.35801628602870467,24,0.5369311002885843,18,0.7286471290649004,22
0.4,5,66,0.5374380338055121,0.5374380338055121,0.5358872012176558,66,64,7,0,nan,0,0.5870646766169154,2,0.35838165910722825,24,0.5369413417783302,18,0.7286671321521158,22
0.4,10,66,0.5373632921599086,0.5373632921599086,0.5358101238956271,66,64,7,0,nan,0,0.5870646766169154,2,0.35830667015187934,24,0.5369392452400444,18,0.7285264286979196,22
0.4,20,66,0.5374740162009025,0.5374740162009025,0.5359243080629021,66,64,7,0,nan,0,0.5870646766169154,2,0.3580231531204305,24,0.5376922933603385,18,0.728551761847696,22
0.45,0,66,0.5352875769318342,0.5352875769318342,0.5343871085827488,66,64,5,0,nan,0,0.5641025641025641,2,0.35642749233908716,24,0.5354160959514895,18,0.72768297300141,22
0.45,3,66,0.5353550865401157,0.5353550865401157,0.5344567278662891,66,64,7,0,nan,0,0.5641025641025641,2,0.35666229779666087,24,0.5353872936849826,18,0.7276529159087705,22
0.45,5,66,0.5355493739958935,0.5355493739958935,0.5346570868050601,66,64,7,0,nan,0,0.5641025641025641,2,0.3571259572313758,24,0.5354437707770648,18,0.7276837594538026,22
0.45,10,66,0.5353180991924278,0.5353180991924278,0.534418584663986,66,64,7,0,nan,0,0.5641025641025641,2,0.3564970803130573,24,0.5355142064248108,18,0.7276183534243238,22
0.45,20,66,0.5346500826362942,0.5346500826362942,0.5337296925904731,66,64,7,0,nan,0,0.5641025641025641,2,0.3541697097147239,24,0.5361943759660475,18,0.7275967511476389,22
0.5,0,66,0.5340559160615257,0.5340559160615257,0.5332720451588784,66,64,5,0,nan,0,0.5591397849462365,2,0.35580704957848036,24,0.5336916645749622,18,0.7265268971788804,22
0.5,3,66,0.5341685329574175,0.5341685329574175,0.533388181332767,66,64,7,0,nan,0,0.5591397849462365,2,0.3561243518731501,24,0.5337048446874508,18,0.7265078161803348,22
0.5,5,66,0.5343218892571862,0.5343218892571862,0.5335463300169033,66,64,7,0,nan,0,0.5591397849462365,2,0.3565032107120616,24,0.5337275981844483,18,0.7265359680305573,22
0.5,10,66,0.5341571227329106,0.5341571227329106,0.5333764145387442,66,64,7,0,nan,0,0.5591397849462365,2,0.35597964179339403,24,0.5338582317001682,18,0.7265059525834155,22
0.5,20,66,0.5265445950127016,0.5265445950127016,0.5325824469401818,66,64,8,0,nan,0,0.3333333333333333,2,0.3536938113481625,24,0.5340994198985286,18,0.7264925260746464,22
0.55,0,66,0.5332142433137405,0.5332142433137405,0.532404070137725,66,64,6,0,nan,0,0.5591397849462365,2,0.35577110806170303,24,0.5319023617790533,18,0.725505062877753,22
0.55,3,66,0.5333786376149794,0.5333786376149794,0.5325736017608778,66,64,7,0,nan,0,0.5591397849462365,2,0.3561962605244226,24,0.5319639602679268,18,0.7254840443312434,22
0.55,5,66,0.5335388059540958,0.5335388059540958,0.5327387753605914,66,64,7,0,nan,0,0.5591397849462365,2,0.3567081565049793,24,0.531991479948537,18,0.7253836012674854,22
0.55,10,66,0.5331205275548414,0.5331205275548414,0.5323074257613604,66,64,7,0,nan,0,0.5591397849462365,2,0.3554128527822448,24,0.5321444611571831,18,0.7254166582329041,22
0.55,20,66,0.5256851385076144,0.5256851385076144,0.5316961324193108,66,64,8,0,nan,0,0.3333333333333333,2,0.35344440028501206,24,0.5324619214373036,18,0.7255260128238245,22
