threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.25,0,66,0.5421302300846652,0.5421302300846652,0.5396494196187351,66,64,5,0,nan,0,0.6215161649944259,2,0.3514477256091341,24,0.5491117779353931,18,0.737218429006489,22
0.25,3,66,0.5419291394034544,0.5419291394034544,0.5394420448537366,66,64,5,0,nan,0,0.6215161649944259,2,0.350809277373836,24,0.5491832461892077,18,0.73725317192097,22
0.25,5,66,0.5419709836151179,0.5419709836151179,0.5394851966970144,66,64,5,0,nan,0,0.6215161649944259,2,0.3508920510878764,24,0.5492538729960723,18,0.7372306203895721,22
0.3,0,66,0.5408889253802263,0.5408889253802263,0.5394459331540797,66,64,5,0,nan,0,0.5870646766169154,2,0.3525174707997476,24,0.5484199074320355,18,0.7360255494950237,22
0.3,3,66,0.5406887497153963,0.5406887497153963,0.5392395019997238,66,64,5,0,nan,0,0.5870646766169154,2,0.35181772506447423,24,0.5486352252438685,18,0.7360122123656958,22
0.3,5,66,0.540380150373736,0.540380150373736,0.5389212589286364,66,64,6,0,nan,0,0.5870646766169154,2,0.35096618338969643,24,0.5486816174428398,18,0.7359774116413138,22
0.35,0,66,0.5409066588878012,0.5409066588878012,0.5392202483883015,66,64,5,0,nan,0,0.5948717948717949,2,0.35365139322275896,24,0.54757341473291,18,0.734824590650577,22
0.35,3,66,0.5408322840486287,0.5408322840486287,0.5391435493354048,66,64,5,0,nan,0,0.5948717948717949,2,0.3533904007759589,24,0.5476841605506849,18,0.7347955749513893,22
0.35,5,66,0.5402696069781012,0.5402696069781012,0.5385632886064233,66,64,6,0,nan,0,0.5948717948717949,2,0.3518802495626528,24,0.5476663779271534,18,0.7347695308463028,22
