Run log for fold 1
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_1
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=441, lesion_positive=256, lesion_empty=185, dmri=183
Val split summary: total=111, lesion_positive=66, lesion_empty=45, dmri=46
Case sampling: enabled=True, target_positive_fraction=0.65, target_empty_fraction=0.35, positive_weight=nan, empty_weight=1.0, num_samples=441, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	49	full	0.522024	0.585552	0.718799	0.528674	val_dice	0.528674	0.00000000	0.00000000	0.00008181
train	50	full	0.518735	0.599145	0.721882	0.597241	val_dice	0.597241	0.00000000	0.00000000	0.00008132
train	51	full	0.503228	0.606579	0.719124	0.617230	val_dice	0.617230	0.00000000	0.00000000	0.00008084
train	52	full	0.501187	0.612536	0.708388	0.548068	val_dice	0.548068	0.00000000	0.00000000	0.00008035
train	53	full	0.516772	0.599785	0.716934	0.475505	val_dice	0.475505	0.00000000	0.00000000	0.00007987
train	54	full	0.529503	0.609250	0.716945	0.332588	val_dice	0.332588	0.00000000	0.00000000	0.00007938
train	55	full	0.531446	0.616479	0.702686	0.462240	val_dice	0.462240	0.00000000	0.00000000	0.00007889
train	56	full	0.518073	0.589173	0.714559	0.541743	val_dice	0.541743	0.00000000	0.00000000	0.00007841
train	57	full	0.510929	0.604352	0.716367	0.513571	val_dice	0.513571	0.00000000	0.00000000	0.00007792
train	58	full	0.478792	0.614925	0.700706	0.537558	val_dice	0.537558	0.00000000	0.00000000	0.00007743
train	59	full	0.493253	0.613972	0.705496	0.568283	val_dice	0.568283	0.00000000	0.00000000	0.00007695
train	60	full	0.520556	0.617118	0.695088	0.443948	val_dice	0.443948	0.00000000	0.00000000	0.00007646
train	61	full	0.499788	0.629826	0.700109	0.546502	val_dice	0.546502	0.00000000	0.00000000	0.00007597
train	62	full	0.489063	0.646970	0.702009	0.508862	val_dice	0.508862	0.00000000	0.00000000	0.00007548
train	63	full	0.509545	0.642782	0.688964	0.486381	val_dice	0.486381	0.00000000	0.00000000	0.00007499
train	64	full	0.486330	0.654459	0.723604	0.622440	val_dice	0.622440	0.00000000	0.00000000	0.00007450
saved	64	full	0.486330	0.654459	0.723604	0.622440
train	65	full	0.510169	0.629065	0.691279	0.582805	val_dice	0.582805	0.00000000	0.00000000	0.00007401
train	66	full	0.480736	0.669526	0.706401	0.557999	val_dice	0.557999	0.00000000	0.00000000	0.00007352
train	67	full	0.492036	0.622887	0.693783	0.553054	val_dice	0.553054	0.00000000	0.00000000	0.00007303
train	68	full	0.486258	0.655823	0.707357	0.566506	val_dice	0.566506	0.00000000	0.00000000	0.00007254
