Run log for fold 1
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 10
Final validation: True
Best checkpoint metric: train_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_1
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=441, lesion_positive=256, lesion_empty=185, dmri=183
Val split summary: total=111, lesion_positive=66, lesion_empty=45, dmri=46
Case sampling: enabled=False, target_positive_fraction=nan, target_empty_fraction=nan, positive_weight=nan, empty_weight=nan, num_samples=441, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	1	head	1.406067	0.003844	nan	nan	train_dice	0.003844	0.00020000	0.00000000	0.00000000
train	2	head	1.032073	0.029919	nan	nan	train_dice	0.029919	0.00040000	0.00000000	0.00000000
train	3	head	1.013761	0.263039	nan	nan	train_dice	0.263039	0.00060000	0.00000000	0.00000000
train	4	head	1.010998	0.408163	nan	nan	train_dice	0.408163	0.00080000	0.00000000	0.00000000
train	5	head	1.009506	0.428571	nan	nan	train_dice	0.428571	0.00100000	0.00000000	0.00000000
train	6	head	1.009637	0.419501	nan	nan	train_dice	0.419501	0.00100000	0.00000000	0.00000000
train	7	head	1.008207	0.424036	nan	nan	train_dice	0.424036	0.00081805	0.00000000	0.00000000
train	8	head	1.008447	0.424036	nan	nan	train_dice	0.424036	0.00063145	0.00000000	0.00000000
train	9	head	1.008557	0.421769	nan	nan	train_dice	0.421769	0.00043838	0.00000000	0.00000000
train	10	head	1.007706	0.421769	1.002268	0.405405	train_dice	0.421769	0.00023492	0.00000000	0.00000000
train	11	partial	0.977061	0.120670	nan	nan	train_dice	0.120670	0.00000010	0.00003333	0.00000000
train	12	partial	0.938901	0.093023	nan	nan	train_dice	0.093023	0.00000010	0.00006667	0.00000000
train	13	partial	0.931617	0.110648	nan	nan	train_dice	0.110648	0.00000010	0.00010000	0.00000000
train	14	partial	0.895893	0.140634	nan	nan	train_dice	0.140634	0.00000010	0.00010000	0.00000000
train	15	partial	0.882570	0.152521	nan	nan	train_dice	0.152521	0.00000010	0.00009808	0.00000000
train	16	partial	0.873028	0.163792	nan	nan	train_dice	0.163792	0.00000010	0.00009616	0.00000000
train	17	partial	0.865012	0.175136	nan	nan	train_dice	0.175136	0.00000010	0.00009424	0.00000000
train	18	partial	0.849629	0.197206	nan	nan	train_dice	0.197206	0.00000010	0.00009231	0.00000000
train	19	partial	0.842330	0.203865	nan	nan	train_dice	0.203865	0.00000010	0.00009037	0.00000000
train	20	partial	0.832136	0.216672	0.849349	0.186576	train_dice	0.216672	0.00000010	0.00008843	0.00000000
train	21	partial	0.821290	0.233353	nan	nan	train_dice	0.233353	0.00000010	0.00008649	0.00000000
train	22	partial	0.813265	0.239003	nan	nan	train_dice	0.239003	0.00000010	0.00008454	0.00000000
train	23	partial	0.808358	0.243136	nan	nan	train_dice	0.243136	0.00000010	0.00008259	0.00000000
train	24	partial	0.796863	0.257060	nan	nan	train_dice	0.257060	0.00000010	0.00008063	0.00000000
train	25	partial	0.793789	0.258285	nan	nan	train_dice	0.258285	0.00000010	0.00007867	0.00000000
train	26	partial	0.789140	0.266045	nan	nan	train_dice	0.266045	0.00000010	0.00007670	0.00000000
train	27	partial	0.784664	0.253899	nan	nan	train_dice	0.253899	0.00000010	0.00007472	0.00000000
train	28	partial	0.776071	0.282319	nan	nan	train_dice	0.282319	0.00000010	0.00007274	0.00000000
train	29	partial	0.772841	0.290615	nan	nan	train_dice	0.290615	0.00000010	0.00007075	0.00000000
train	30	partial	0.763740	0.298357	0.802126	0.226840	train_dice	0.298357	0.00000010	0.00006876	0.00000000
train	31	partial	0.769336	0.289252	nan	nan	train_dice	0.289252	0.00000010	0.00006676	0.00000000
train	32	partial	0.760568	0.294602	nan	nan	train_dice	0.294602	0.00000010	0.00006475	0.00000000
train	33	partial	0.753492	0.332966	nan	nan	train_dice	0.332966	0.00000010	0.00006274	0.00000000
train	34	partial	0.749199	0.343049	nan	nan	train_dice	0.343049	0.00000010	0.00006072	0.00000000
train	35	partial	0.745493	0.314460	nan	nan	train_dice	0.314460	0.00000010	0.00005869	0.00000000
train	36	partial	0.737733	0.318900	nan	nan	train_dice	0.318900	0.00000010	0.00005666	0.00000000
train	37	partial	0.742724	0.324368	nan	nan	train_dice	0.324368	0.00000010	0.00005461	0.00000000
train	38	partial	0.726628	0.348659	nan	nan	train_dice	0.348659	0.00000010	0.00005256	0.00000000
train	39	partial	0.728352	0.344584	nan	nan	train_dice	0.344584	0.00000010	0.00005050	0.00000000
train	40	partial	0.721245	0.352721	0.771991	0.289361	train_dice	0.352721	0.00000010	0.00004843	0.00000000
train	41	partial	0.717506	0.346625	nan	nan	train_dice	0.346625	0.00000010	0.00004635	0.00000000
train	42	partial	0.716206	0.370169	nan	nan	train_dice	0.370169	0.00000010	0.00004426	0.00000000
train	43	partial	0.708840	0.391405	nan	nan	train_dice	0.391405	0.00000010	0.00004216	0.00000000
train	44	partial	0.710279	0.362950	nan	nan	train_dice	0.362950	0.00000010	0.00004004	0.00000000
train	45	partial	0.706009	0.374387	nan	nan	train_dice	0.374387	0.00000010	0.00003792	0.00000000
train	46	partial	0.708709	0.372717	nan	nan	train_dice	0.372717	0.00000010	0.00003578	0.00000000
train	47	partial	0.702134	0.380254	nan	nan	train_dice	0.380254	0.00000010	0.00003362	0.00000000
train	48	partial	0.699428	0.392104	nan	nan	train_dice	0.392104	0.00000010	0.00003145	0.00000000
train	49	partial	0.694926	0.393042	nan	nan	train_dice	0.393042	0.00000010	0.00002927	0.00000000
train	50	partial	0.690006	0.424830	0.771402	0.324012	train_dice	0.424830	0.00000010	0.00002706	0.00000000
train	51	partial	0.688450	0.401617	nan	nan	train_dice	0.401617	0.00000010	0.00002484	0.00000000
train	52	partial	0.681919	0.418395	nan	nan	train_dice	0.418395	0.00000010	0.00002259	0.00000000
train	53	partial	0.687674	0.408244	nan	nan	train_dice	0.408244	0.00000010	0.00002032	0.00000000
train	54	partial	0.683471	0.421484	nan	nan	train_dice	0.421484	0.00000010	0.00001802	0.00000000
train	55	partial	0.680511	0.410655	nan	nan	train_dice	0.410655	0.00000010	0.00001568	0.00000000
train	56	partial	0.676905	0.405244	nan	nan	train_dice	0.405244	0.00000010	0.00001331	0.00000000
train	57	partial	0.674384	0.415951	nan	nan	train_dice	0.415951	0.00000010	0.00001089	0.00000000
train	58	partial	0.673484	0.411621	nan	nan	train_dice	0.411621	0.00000010	0.00000840	0.00000000
train	59	partial	0.671314	0.446086	nan	nan	train_dice	0.446086	0.00000010	0.00000583	0.00000000
train	60	partial	0.667467	0.470847	0.759271	0.416093	train_dice	0.470847	0.00000010	0.00000313	0.00000000
train	61	full	0.730916	0.317495	nan	nan	train_dice	0.317495	0.00000010	0.00000010	0.00002000
train	62	full	0.753691	0.296729	nan	nan	train_dice	0.296729	0.00000010	0.00000010	0.00004000
train	63	full	0.760556	0.286438	nan	nan	train_dice	0.286438	0.00000010	0.00000010	0.00006000
train	64	full	0.769836	0.262239	nan	nan	train_dice	0.262239	0.00000010	0.00000010	0.00008000
train	65	full	0.752480	0.301519	nan	nan	train_dice	0.301519	0.00000010	0.00000010	0.00010000
train	66	full	0.750526	0.294778	nan	nan	train_dice	0.294778	0.00000010	0.00000010	0.00010000
train	67	full	0.742273	0.307768	nan	nan	train_dice	0.307768	0.00000010	0.00000010	0.00009933
train	68	full	0.726638	0.324268	nan	nan	train_dice	0.324268	0.00000010	0.00000010	0.00009867
train	69	full	0.728305	0.332694	nan	nan	train_dice	0.332694	0.00000010	0.00000010	0.00009800
train	70	full	0.727298	0.376759	0.751360	0.324681	train_dice	0.376759	0.00000010	0.00000010	0.00009733
train	71	full	0.716037	0.370071	nan	nan	train_dice	0.370071	0.00000010	0.00000010	0.00009666
train	72	full	0.708262	0.382601	nan	nan	train_dice	0.382601	0.00000010	0.00000010	0.00009599
train	73	full	0.709917	0.385710	nan	nan	train_dice	0.385710	0.00000010	0.00000010	0.00009532
train	74	full	0.696202	0.386486	nan	nan	train_dice	0.386486	0.00000010	0.00000010	0.00009465
train	75	full	0.699291	0.398064	nan	nan	train_dice	0.398064	0.00000010	0.00000010	0.00009398
train	76	full	0.693620	0.396888	nan	nan	train_dice	0.396888	0.00000010	0.00000010	0.00009331
train	77	full	0.695762	0.398733	nan	nan	train_dice	0.398733	0.00000010	0.00000010	0.00009264
train	78	full	0.689922	0.401753	nan	nan	train_dice	0.401753	0.00000010	0.00000010	0.00009196
train	79	full	0.692101	0.435601	nan	nan	train_dice	0.435601	0.00000010	0.00000010	0.00009129
train	80	full	0.683366	0.430732	0.743812	0.327929	train_dice	0.430732	0.00000010	0.00000010	0.00009062
train	81	full	0.681305	0.458956	nan	nan	train_dice	0.458956	0.00000010	0.00000010	0.00008994
train	82	full	0.684501	0.460523	nan	nan	train_dice	0.460523	0.00000010	0.00000010	0.00008927
train	83	full	0.674224	0.476390	nan	nan	train_dice	0.476390	0.00000010	0.00000010	0.00008859
train	84	full	0.682521	0.417370	nan	nan	train_dice	0.417370	0.00000010	0.00000010	0.00008792
train	85	full	0.677413	0.451709	nan	nan	train_dice	0.451709	0.00000010	0.00000010	0.00008724
train	86	full	0.661199	0.497230	nan	nan	train_dice	0.497230	0.00000010	0.00000010	0.00008656
train	87	full	0.669227	0.474515	nan	nan	train_dice	0.474515	0.00000010	0.00000010	0.00008588
train	88	full	0.665552	0.469781	nan	nan	train_dice	0.469781	0.00000010	0.00000010	0.00008521
train	89	full	0.664398	0.450926	nan	nan	train_dice	0.450926	0.00000010	0.00000010	0.00008453
train	90	full	0.659902	0.498194	0.732493	0.423394	train_dice	0.498194	0.00000010	0.00000010	0.00008385
train	91	full	0.661790	0.501055	nan	nan	train_dice	0.501055	0.00000010	0.00000010	0.00008317
train	92	full	0.662041	0.478389	nan	nan	train_dice	0.478389	0.00000010	0.00000010	0.00008249
train	93	full	0.664613	0.460697	nan	nan	train_dice	0.460697	0.00000010	0.00000010	0.00008181
train	94	full	0.650014	0.508006	nan	nan	train_dice	0.508006	0.00000010	0.00000010	0.00008112
train	95	full	0.650603	0.494063	nan	nan	train_dice	0.494063	0.00000010	0.00000010	0.00008044
train	96	full	0.652022	0.480205	nan	nan	train_dice	0.480205	0.00000010	0.00000010	0.00007976
train	97	full	0.659521	0.466564	nan	nan	train_dice	0.466564	0.00000010	0.00000010	0.00007907
train	98	full	0.649612	0.512207	nan	nan	train_dice	0.512207	0.00000010	0.00000010	0.00007839
train	99	full	0.651872	0.526824	nan	nan	train_dice	0.526824	0.00000010	0.00000010	0.00007770
train	100	full	0.651315	0.526793	0.715700	0.361869	train_dice	0.526793	0.00000010	0.00000010	0.00007702
train	101	full	0.652298	0.497231	nan	nan	train_dice	0.497231	0.00000010	0.00000010	0.00007633
train	102	full	0.646114	0.515869	nan	nan	train_dice	0.515869	0.00000010	0.00000010	0.00007564
train	103	full	0.646862	0.533131	nan	nan	train_dice	0.533131	0.00000010	0.00000010	0.00007496
train	104	full	0.645238	0.542975	nan	nan	train_dice	0.542975	0.00000010	0.00000010	0.00007427
train	105	full	0.635428	0.543018	nan	nan	train_dice	0.543018	0.00000010	0.00000010	0.00007358
train	106	full	0.638541	0.606226	nan	nan	train_dice	0.606226	0.00000010	0.00000010	0.00007289
train	107	full	0.633782	0.552307	nan	nan	train_dice	0.552307	0.00000010	0.00000010	0.00007220
train	108	full	0.633034	0.552145	nan	nan	train_dice	0.552145	0.00000010	0.00000010	0.00007150
train	109	full	0.636466	0.580650	nan	nan	train_dice	0.580650	0.00000010	0.00000010	0.00007081
train	110	full	0.634042	0.565301	0.719091	0.446773	train_dice	0.565301	0.00000010	0.00000010	0.00007012
train	111	full	0.634580	0.572983	nan	nan	train_dice	0.572983	0.00000010	0.00000010	0.00006943
train	112	full	0.628568	0.568731	nan	nan	train_dice	0.568731	0.00000010	0.00000010	0.00006873
train	113	full	0.627894	0.554855	nan	nan	train_dice	0.554855	0.00000010	0.00000010	0.00006804
train	114	full	0.627967	0.564962	nan	nan	train_dice	0.564962	0.00000010	0.00000010	0.00006734
train	115	full	0.632539	0.578912	nan	nan	train_dice	0.578912	0.00000010	0.00000010	0.00006664
train	116	full	0.625143	0.582789	nan	nan	train_dice	0.582789	0.00000010	0.00000010	0.00006594
train	117	full	0.629613	0.568905	nan	nan	train_dice	0.568905	0.00000010	0.00000010	0.00006525
train	118	full	0.625448	0.602853	nan	nan	train_dice	0.602853	0.00000010	0.00000010	0.00006455
train	119	full	0.622314	0.571650	nan	nan	train_dice	0.571650	0.00000010	0.00000010	0.00006385
train	120	full	0.626867	0.590176	0.724042	0.507237	train_dice	0.590176	0.00000010	0.00000010	0.00006314
train	121	full	0.630784	0.547537	nan	nan	train_dice	0.547537	0.00000010	0.00000010	0.00006244
train	122	full	0.625454	0.580764	nan	nan	train_dice	0.580764	0.00000010	0.00000010	0.00006174
train	123	full	0.626461	0.567102	nan	nan	train_dice	0.567102	0.00000010	0.00000010	0.00006104
train	124	full	0.617544	0.606344	nan	nan	train_dice	0.606344	0.00000010	0.00000010	0.00006033
train	125	full	0.621380	0.608933	nan	nan	train_dice	0.608933	0.00000010	0.00000010	0.00005963
train	126	full	0.619442	0.609195	nan	nan	train_dice	0.609195	0.00000010	0.00000010	0.00005892
train	127	full	0.617564	0.597136	nan	nan	train_dice	0.597136	0.00000010	0.00000010	0.00005821
train	128	full	0.617567	0.622679	nan	nan	train_dice	0.622679	0.00000010	0.00000010	0.00005750
train	129	full	0.618248	0.624657	nan	nan	train_dice	0.624657	0.00000010	0.00000010	0.00005679
train	130	full	0.617799	0.611667	0.716189	0.522336	train_dice	0.611667	0.00000010	0.00000010	0.00005608
train	131	full	0.612650	0.619333	nan	nan	train_dice	0.619333	0.00000010	0.00000010	0.00005537
train	132	full	0.611681	0.613127	nan	nan	train_dice	0.613127	0.00000010	0.00000010	0.00005466
train	133	full	0.614018	0.627738	nan	nan	train_dice	0.627738	0.00000010	0.00000010	0.00005395
train	134	full	0.610635	0.620137	nan	nan	train_dice	0.620137	0.00000010	0.00000010	0.00005323
train	135	full	0.611818	0.622794	nan	nan	train_dice	0.622794	0.00000010	0.00000010	0.00005252
train	136	full	0.615252	0.638368	nan	nan	train_dice	0.638368	0.00000010	0.00000010	0.00005180
train	137	full	0.613554	0.613967	nan	nan	train_dice	0.613967	0.00000010	0.00000010	0.00005108
train	138	full	0.614020	0.632001	nan	nan	train_dice	0.632001	0.00000010	0.00000010	0.00005036
train	139	full	0.607962	0.636398	nan	nan	train_dice	0.636398	0.00000010	0.00000010	0.00004964
train	140	full	0.610893	0.597992	0.707437	0.492614	train_dice	0.597992	0.00000010	0.00000010	0.00004892
train	141	full	0.610755	0.639005	nan	nan	train_dice	0.639005	0.00000010	0.00000010	0.00004820
train	142	full	0.604595	0.622951	nan	nan	train_dice	0.622951	0.00000010	0.00000010	0.00004748
