threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.1,0,66,0.545733193617449,0.545733193617449,0.5442622612210245,66,64,0,0,nan,0,0.5928030303030303,2,0.364409909,24,0.5499212675382067,18,0.7358347312026297,22
0.1,3,66,0.545557071736924,0.545557071736924,0.5440806355317331,66,64,3,0,nan,0,0.5928030303030303,2,0.3638704801519362,24,0.5499007655666128,18,0.7359116077357009,22
0.1,5,66,0.5451011070157704,0.5451011070157704,0.5436104219130435,66,64,3,0,nan,0,0.5928030303030303,2,0.3625410491293149,24,0.5500225471158005,18,0.735894362511219,22
0.15,0,66,0.5441277393544031,0.5441277393544031,0.5422980870670605,66,64,2,0,nan,0,0.6026766125493637,2,0.3584569123909347,24,0.5490751368661253,18,0.7373072368781447,22
0.15,3,66,0.5439029973223565,0.5439029973223565,0.5420663218465125,66,64,3,0,nan,0,0.6026766125493637,2,0.35770295427198806,24,0.5491985793561898,18,0.7373545121471671,22
0.15,5,66,0.5437103942808587,0.5437103942808587,0.5418676999599678,66,64,4,0,nan,0,0.6026766125493637,2,0.35704919508557403,24,0.5492868981424238,18,0.737417634037297,22
0.2,0,66,0.5440397617560336,0.5440397617560336,0.5415916463444526,66,64,5,0,nan,0,0.6223794549266247,2,0.3564541006280222,24,0.5489023229187735,18,0.7375784153833866,22
0.2,3,66,0.5440668398165798,0.5440668398165798,0.5413839555150258,66,64,5,0,nan,0,0.6299191374663072,2,0.35580045247308933,24,0.5490178408244601,18,0.7375927799439647,22
0.2,5,66,0.5438278014048934,0.5438278014048934,0.5411374471529742,66,64,5,0,nan,0,0.6299191374663072,2,0.3550556409492105,24,0.5491184912908178,18,0.7376058359897534,22
