Run log for fold 2
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_2
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=442, lesion_positive=257, lesion_empty=185, dmri=184
Val split summary: total=110, lesion_positive=65, lesion_empty=45, dmri=45
Case sampling: enabled=True, target_positive_fraction=0.7, target_empty_fraction=0.30000000000000004, positive_weight=nan, empty_weight=1.0, num_samples=442, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	1	partial	1.048529	0.236960	1.042148	0.105289	val_dice	0.105289	0.00000000	0.00010000	0.00000000
saved	1	partial	1.048529	0.236960	1.042148	0.105289
train	2	partial	1.032102	0.187416	1.020980	0.078662	val_dice	0.078662	0.00000000	0.00020000	0.00000000
train	3	partial	1.015038	0.110122	1.017892	0.401757	val_dice	0.401757	0.00000000	0.00030000	0.00000000
saved	3	partial	1.015038	0.110122	1.017892	0.401757
train	4	partial	0.998565	0.114054	0.994891	0.101979	val_dice	0.101979	0.00000000	0.00030000	0.00000000
train	5	partial	0.982883	0.117757	0.981213	0.117229	val_dice	0.117229	0.00000000	0.00029425	0.00000000
train	6	partial	0.960483	0.139649	0.981685	0.110182	val_dice	0.110182	0.00000000	0.00028849	0.00000000
train	7	partial	0.951049	0.145551	0.975099	0.134304	val_dice	0.134304	0.00000000	0.00028271	0.00000000
train	8	partial	0.937406	0.181019	0.955707	0.134771	val_dice	0.134771	0.00000000	0.00027692	0.00000000
train	9	partial	0.954009	0.146785	0.949299	0.155989	val_dice	0.155989	0.00000000	0.00027112	0.00000000
train	10	partial	0.925466	0.188213	0.955701	0.108222	val_dice	0.108222	0.00000000	0.00026530	0.00000000
train	11	partial	0.896367	0.199417	0.924498	0.148559	val_dice	0.148559	0.00000000	0.00025947	0.00000000
