threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.3,10,66,0.5406887784834706,0.5406887784834706,0.538495936295242,66,64,6,0,nan,0,0.6108597285067874,2,0.3515205908126247,24,0.5462467515255497,18,0.7361274643605725,22
0.3,20,66,0.540303228883269,0.540303228883269,0.538098338270034,66,64,7,0,nan,0,0.6108597285067874,2,0.34971894567840084,24,0.5470189890643512,18,0.7363044159019196,22
0.35,10,66,0.5398036235781616,0.5398036235781616,0.5383267156707006,66,64,6,0,nan,0,0.5870646766169154,2,0.352336997627758,24,0.5459677943479322,18,0.7349727982543576,22
0.35,20,66,0.5395312092713003,0.5395312092713003,0.5380457884167498,66,64,7,0,nan,0,0.5870646766169154,2,0.3515210556694733,24,0.5461167934114156,18,0.7349237655090519,22
