threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.2,0,66,0.5433438962303565,0.5433438962303565,0.5437851969452173,66,64,2,0,nan,0,0.529222273354809,2,0.37290987961397565,24,0.5418641784883114,18,0.7317663764076766,22
0.2,3,66,0.5423218844031624,0.5423218844031624,0.5427312472484234,66,64,4,0,nan,0,0.529222273354809,2,0.3701601584098912,24,0.5417599195912209,18,0.7317853395190789,22
0.2,5,66,0.541692693585171,0.541692693585171,0.5420823942173698,66,64,5,0,nan,0,0.529222273354809,2,0.3685113435278473,24,0.5418161377058994,18,0.7316504775698703,22
0.25,0,66,0.5420477773842106,0.5420477773842106,0.5424873300692964,66,64,2,0,nan,0,0.5279820914614646,2,0.369966307567185,24,0.541459746051263,18,0.7315328324499909,22
0.25,3,66,0.541502055375667,0.541502055375667,0.5419245542479857,66,64,4,0,nan,0,0.5279820914614646,2,0.36840838584997226,24,0.54156427061723,18,0.7315096972891643,22
0.25,5,66,0.5411921095790776,0.5411921095790776,0.5416049226452531,66,64,5,0,nan,0,0.5279820914614646,2,0.36753133346900907,24,0.5415879655245797,18,0.7315172575726158,22
0.3,0,66,0.5415492430809169,0.5415492430809169,0.5419214042807593,66,64,2,0,nan,0,0.5296400846859562,2,0.36845508755660245,24,0.5415500143065286,18,0.7314612506860282,22
0.3,3,66,0.5412771581220905,0.5412771581220905,0.54164081666697,66,64,4,0,nan,0,0.5296400846859562,2,0.36758773905477127,24,0.5417089113791517,18,0.7314611874794017,22
0.3,5,66,0.5410507698459217,0.5410507698459217,0.5414073537571706,66,64,5,0,nan,0,0.5296400846859562,2,0.3668892566742455,24,0.5418124524466688,18,0.7314592880107724,22
