threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.2,0,0020,0.2929782082324455,0.36555891238670696,0.24444444444444444,495,tiny,331,tiny,121,210,374,0,0
0.2,3,0020,0.2929782082324455,0.36555891238670696,0.24444444444444444,495,tiny,331,tiny,121,210,374,0,0
0.2,5,0020,0.2929782082324455,0.36555891238670696,0.24444444444444444,495,tiny,331,tiny,121,210,374,0,0
0.25,0,0020,0.28431372549019607,0.3613707165109034,0.23434343434343435,495,tiny,321,tiny,116,205,379,0,0
0.25,3,0020,0.28431372549019607,0.3613707165109034,0.23434343434343435,495,tiny,321,tiny,116,205,379,0,0
0.25,5,0020,0.28431372549019607,0.3613707165109034,0.23434343434343435,495,tiny,321,tiny,116,205,379,0,0
0.3,0,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.3,3,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.3,5,0020,0.27935723114956734,0.35987261146496813,0.22828282828282828,495,tiny,314,tiny,113,201,382,0,0
0.2,0,0021,0.8079470198675497,0.7305389221556886,0.9037037037037037,135,tiny,167,tiny,122,45,13,0,0
0.2,3,0021,0.8079470198675497,0.7305389221556886,0.9037037037037037,135,tiny,167,tiny,122,45,13,0,0
0.2,5,0021,0.8160535117056856,0.7439024390243902,0.9037037037037037,135,tiny,164,tiny,122,42,13,0,0
0.25,0,0021,0.8148148148148148,0.7469135802469136,0.8962962962962963,135,tiny,162,tiny,121,41,14,0,0
0.25,3,0021,0.8148148148148148,0.7469135802469136,0.8962962962962963,135,tiny,162,tiny,121,41,14,0,0
0.25,5,0021,0.8231292517006803,0.7610062893081762,0.8962962962962963,135,tiny,159,tiny,121,38,14,0,0
0.3,0,0021,0.8203389830508474,0.75625,0.8962962962962963,135,tiny,160,tiny,121,39,14,0,0
0.3,3,0021,0.8203389830508474,0.75625,0.8962962962962963,135,tiny,160,tiny,121,39,14,0,0
