epoch,stage,train_loss,train_dice,val_loss,dice_all_positive,dice_gt_over_selection_min,dice_very_tiny,dice_tiny,dice_small,dice_large,n_missed_positive,selection_metric,selection_value,lr_head,lr_partial,lr_full
1,full,0.2926966588420328,0.7765052807991962,0.49370411467371567,0.5360058378780004,0.5344982342052176,0.5842491554070552,0.3570787102288631,0.5351944099134608,0.7274772075090414,4.0,dice_gt_over_selection_min,0.5344982342052176,0.0,0.0,5e-06
2,full,0.3146557644358836,0.7404622351981628,0.49530243692976056,0.5318625275467143,0.5307803282140912,0.5664929061906511,0.35675136972536187,0.52933524134993,0.7218124449088367,4.0,dice_gt_over_selection_min,0.5307803282140912,0.0,0.0,1e-05
3,full,0.30544174765236676,0.7418894657438861,0.4977938343178142,0.5261686677337073,0.5249085352819278,0.5664929061906511,0.35274685931773203,0.5196910114366998,0.7169901558435098,4.0,dice_gt_over_selection_min,0.5249085352819278,0.0,0.0,1e-05
4,full,0.2741478758689482,0.7732689906337518,0.4984211777195786,0.5229690525491704,0.5236868324910784,0.5000000944081158,0.3465316581288885,0.5205498500633672,0.7195136446906854,7.0,dice_gt_over_selection_min,0.5236868324910784,0.0,0.0,9.81230317899726e-06
5,full,0.28570226684678346,0.7503469592334496,0.49227386622717884,0.5276759528062802,0.5281401824522676,0.5128206041346896,0.34734191170615264,0.5289600009364503,0.7247038990518796,5.0,dice_gt_over_selection_min,0.5281401824522676,0.0,0.0,9.624206546198262e-06
6,full,0.2801957814954221,0.7576771467441827,0.489947019878662,0.5286374891749395,0.5295324077614026,0.5000000944081158,0.3482440382213247,0.5307636617402874,0.7262941485496729,4.0,dice_gt_over_selection_min,0.5295324077614026,0.0,0.0,9.43570052899271e-06
7,full,0.2831310369365383,0.759062158619626,0.489889049168789,0.528189132172636,0.5281835148817904,0.5283688854796977,0.34489140109050487,0.5297709946805687,0.7268397010005558,6.0,dice_gt_over_selection_min,0.5281835148817904,0.0,0.0,9.246775107445348e-06
8,full,0.25911054777679965,0.7739746372234386,0.48586635043223697,0.5303232220477231,0.5294750360704175,0.5574651733215039,0.35121349982151634,0.5251109859555649,0.7275127529813705,6.0,dice_gt_over_selection_min,0.5294750360704175,0.0,0.0,9.057419782733774e-06
9,full,0.2738047907478176,0.7542993593848872,0.49063861437819223,0.5253448594607726,0.5247479946522555,0.5444445333333159,0.3448418095053381,0.5194174586033118,0.7253706352162105,6.0,dice_gt_over_selection_min,0.5247479946522555,0.0,0.0,8.867623542572073e-06
10,full,0.24929092801176012,0.7768974668429637,0.4849024173436743,0.5309687227015661,0.5288703441800753,0.5981168353892774,0.34629864756595863,0.5256628800922533,0.7306637565582388,5.0,dice_gt_over_selection_min,0.5288703441800753,0.0,0.0,8.677374823253636e-06
11,full,0.2696965989889577,0.7577741779834973,0.49049198492006824,0.5240025645925991,0.5233637530694517,0.5444445333333159,0.3474188416213468,0.5155077915684025,0.721731261331879,6.0,dice_gt_over_selection_min,0.5233637530694517,0.0,0.0,8.486661467891869e-06
12,full,0.2758058791660005,0.7544459682192988,0.4797062182968313,0.5344045406869613,0.5327453052451046,0.5875000748263752,0.3507161617098122,0.5353659146816239,0.729178417744635,5.0,dice_gt_over_selection_min,0.5327453052451046,0.0,0.0,8.295470680373176e-06
13,full,0.258323781483341,0.7719960264186989,0.48064315793189133,0.5304779485617869,0.5315250784916413,0.4969697908064428,0.3491152085561106,0.5342074302811847,0.7283230124116847,5.0,dice_gt_over_selection_min,0.5315250784916413,0.0,0.0,8.103788974460405e-06
14,full,0.255672295941622,0.7660497306449666,0.48236719834985153,0.5295973868929741,0.5286367095317857,0.5603390624510054,0.348037960886157,0.5276578376936287,0.7264544213764181,5.0,dice_gt_over_selection_min,0.5286367095317857,0.0,0.0,7.911602117394678e-06
15,full,0.2432246193930041,0.7812822214030019,0.4791275050603982,0.5322992804253911,0.5310169638831295,0.573333409777764,0.3507360898583749,0.5309816611930245,0.7277158922929478,5.0,dice_gt_over_selection_min,0.5310169638831295,0.0,0.0,7.718895067235706e-06
16,full,0.26006634026998654,0.7580473654419971,0.4820489138364792,0.528359393935328,0.5281072294446277,0.5364286576377391,0.3454273683247577,0.5280625369321886,0.7274309172673906,5.0,dice_gt_over_selection_min,0.5281072294446277,0.0,0.0,7.525651903051722e-06
