phase,epoch,train_loss,train_dice,val_loss,val_dice,monitor_metric,monitor_value,lr_head,lr_partial,lr_full
train,1,1.3204364617967788,0.0015975003047820613,nan,nan,train_dice,0.0015975003047820613,0.0001,2.9999999999999997e-05,1e-05
train,2,1.0677096467507656,0.0002327917860447957,nan,nan,train_dice,0.0002327917860447957,0.0002,5.9999999999999995e-05,2e-05
train,3,1.022811575534226,0.022864233380833553,nan,nan,train_dice,0.022864233380833553,0.0003,8.999999999999999e-05,3e-05
train,4,1.0122619398193213,0.16732097138550064,nan,nan,train_dice,0.16732097138550064,0.0004,0.00011999999999999999,4e-05
train,5,1.0088217194995952,0.3193918092217318,nan,nan,train_dice,0.3193918092217318,0.0005,0.00015,5e-05
train,6,1.0069950948196673,0.3992395897409294,nan,nan,train_dice,0.3992395897409294,0.0006,0.00017999999999999998,6e-05
train,7,1.0067466075882712,0.4030418703951687,nan,nan,train_dice,0.4030418703951687,0.0007,0.00020999999999999998,7e-05
train,8,1.0063326873253506,0.4220532622749665,nan,nan,train_dice,0.4220532622749665,0.0008,0.00023999999999999998,8e-05
train,9,1.0063220416638334,0.4220532576510481,nan,nan,train_dice,0.4220532576510481,0.0009000000000000001,0.00027,9e-05
train,10,1.0061930363622456,0.4220532949676504,1.0015055347572674,0.42424243915533605,train_dice,0.4220532949676504,0.001,0.0003,0.0001
train,11,1.006156848863957,0.4258555372686616,nan,nan,train_dice,0.4258555372686616,0.001,0.0003,0.0001
train,12,1.0057417895404106,0.4296578175991961,nan,nan,train_dice,0.4296578175991961,0.000993569126617292,0.0002980707379851876,9.935691266172922e-05
train,13,1.0056306685784924,0.42965781937166786,nan,nan,train_dice,0.42965781937166786,0.0009871336250004174,0.00029614008750012517,9.871336250004175e-05
train,14,1.005369535870425,0.42205329509788897,nan,nan,train_dice,0.42205329509788897,0.00098069345824364,0.00029420803747309197,9.8069345824364e-05
train,15,1.0049028188103506,0.4296578181428051,nan,nan,train_dice,0.4296578181428051,0.0009742485888752956,0.00029227457666258864,9.742485888752956e-05
train,16,1.0047408351426796,0.433460098626933,nan,nan,train_dice,0.433460098626933,0.0009677989788448842,0.00029033969365346526,9.677989788448843e-05
train,17,1.004260789532172,0.4258555376307827,nan,nan,train_dice,0.4258555376307827,0.0009613445895097748,0.0002884033768529324,9.613445895097748e-05
train,18,1.0044725603023863,0.42585557640693555,nan,nan,train_dice,0.42585557640693555,0.0009548853816214997,0.0002864656144864499,9.548853816214998e-05
train,19,1.004068561153267,0.4220532945781792,nan,nan,train_dice,0.4220532945781792,0.0009484213153116293,0.00028452639459348875,9.484213153116294e-05
train,20,1.0030515073823385,0.42205329591617946,0.999742635271766,0.42424243915533605,train_dice,0.42205329591617946,0.0009419523500772044,0.0002825857050231613,9.419523500772045e-05
train,21,0.9944237370908033,0.20212398384507582,nan,nan,train_dice,0.20212398384507582,0.0009354784447657164,0.0002806435334297149,9.354784447657164e-05
train,22,0.9731740639916844,0.04772006547637715,nan,nan,train_dice,0.04772006547637715,0.0009289995575596095,0.0002786998672678828,9.289995575596095e-05
train,23,0.9400080073015772,0.08496046674754136,nan,nan,train_dice,0.08496046674754136,0.0009225156459602936,0.00027675469378808806,9.225156459602936e-05
train,24,0.9326508767024646,0.09658543722815051,nan,nan,train_dice,0.09658543722815051,0.000916026666771643,0.0002748080000314929,9.16026666771643e-05
train,25,0.9133131762421176,0.10155528850370941,nan,nan,train_dice,0.10155528850370941,0.0009095325760829623,0.00027285977282488864,9.095325760829622e-05
train,26,0.889235834998323,0.12707040730758715,nan,nan,train_dice,0.12707040730758715,0.0009030333292513979,0.00027090999877541936,9.03033329251398e-05
train,27,0.8825143037980047,0.12800412554386448,nan,nan,train_dice,0.12800412554386448,0.000896528880883773,0.0002689586642651319,8.965288808837731e-05
train,28,0.8835679581636712,0.12833539298097205,nan,nan,train_dice,0.12833539298097205,0.0008900191848178213,0.00026700575544534637,8.900191848178214e-05
train,29,0.8799384627278767,0.13942472436153105,nan,nan,train_dice,0.13942472436153105,0.0008835041941027936,0.00026505125823083806,8.835041941027937e-05
train,30,0.8611901963391685,0.15723923705039553,0.8747083355079998,0.13476831658807176,train_dice,0.15723923705039553,0.0008769838609794148,0.0002630951582938244,8.769838609794149e-05
train,31,0.8561028489141863,0.1617377496889387,nan,nan,train_dice,0.1617377496889387,0.0008704581368591593,0.00026113744105774777,8.704581368591593e-05
train,32,0.8523351711578695,0.16332378812796763,nan,nan,train_dice,0.16332378812796763,0.0008639269723028191,0.0002591780916908457,8.639269723028191e-05
train,33,0.8407641393150214,0.17530968036314473,nan,nan,train_dice,0.17530968036314473,0.0008573903169983332,0.0002572170950994999,8.573903169983331e-05
train,34,0.8202939052772159,0.19501979034449202,nan,nan,train_dice,0.19501979034449202,0.000850848119737845,0.0002552544359213535,8.50848119737845e-05
train,35,0.826462504358346,0.19218643143276656,nan,nan,train_dice,0.19218643143276656,0.0008443003283939573,0.0002532900985181872,8.443003283939573e-05
train,36,0.8144436927349396,0.21458324932319062,nan,nan,train_dice,0.21458324932319062,0.0008377468898951463,0.00025132406696854386,8.377468898951463e-05
train,37,0.8048752855098746,0.21007734125575064,nan,nan,train_dice,0.21007734125575064,0.000831187750200298,0.00024935632506008936,8.31187750200298e-05
train,38,0.8033510488475684,0.21257913330172584,nan,nan,train_dice,0.21257913330172584,0.0008246228542723309,0.00024738685628169924,8.24622854272331e-05
train,39,0.7916155082417985,0.22205316745342987,nan,nan,train_dice,0.22205316745342987,0.0008180521460508585,0.0002454156438152575,8.180521460508584e-05
train,40,0.7991972659137312,0.2128113315519345,0.8342345731728005,0.18673832768133528,train_dice,0.2128113315519345,0.0008114755684238512,0.00024344267052715533,8.114755684238512e-05
train,41,0.7931788764865679,0.242995765897406,nan,nan,train_dice,0.242995765897406,0.0008048930631982528,0.00024146791895947583,8.048930631982528e-05
train,42,0.7835077762943711,0.23257684901531453,nan,nan,train_dice,0.23257684901531453,0.0007983045710694983,0.0002394913713208495,7.983045710694984e-05
train,43,0.7759940399303182,0.2392742473690649,nan,nan,train_dice,0.2392742473690649,0.0007917100315898869,0.00023751300947696602,7.917100315898869e-05
train,44,0.7814789673901329,0.23570485073415656,nan,nan,train_dice,0.23570485073415656,0.0007851093831357514,0.0002355328149407254,7.851093831357515e-05
train,45,0.7778773914045254,0.2364423216843735,nan,nan,train_dice,0.2364423216843735,0.0007785025628733727,0.0002335507688620118,7.785025628733728e-05
train,46,0.7686675927484897,0.2495140285394556,nan,nan,train_dice,0.2495140285394556,0.0007718895067235705,0.00023156685201707112,7.718895067235705e-05
train,47,0.7699957830484375,0.2442599777993893,nan,nan,train_dice,0.2442599777993893,0.0007652701493249137,0.00022958104479747408,7.652701493249137e-05
train,48,0.7700977269914213,0.26356035308099457,nan,nan,train_dice,0.26356035308099457,0.0007586444239954791,0.0002275933271986437,7.586444239954791e-05
train,49,0.7599249262320225,0.2854583250673547,nan,nan,train_dice,0.2854583250673547,0.0007520122626930865,0.00022560367880792594,7.520122626930866e-05
train,50,0.755133959843632,0.26630094133247323,0.7998097827940276,0.25082677858553953,train_dice,0.26630094133247323,0.0007453735959739346,0.00022361207879218037,7.453735959739347e-05
train,51,0.7583480243333846,0.2634574966925919,nan,nan,train_dice,0.2634574966925919,0.0007387283529495573,0.00022161850588486718,7.387283529495573e-05
train,52,0.7470036260642027,0.27819700399860653,nan,nan,train_dice,0.27819700399860653,0.0007320764612420133,0.00021962293837260398,7.320764612420133e-05
train,53,0.7570163069909063,0.2729794182464148,nan,nan,train_dice,0.2729794182464148,0.0007254178469372199,0.00021762535408116594,7.2541784693722e-05
train,54,0.740545246367672,0.27628864272908354,nan,nan,train_dice,0.27628864272908354,0.0007187524345363322,0.00021562573036089963,7.187524345363323e-05
train,55,0.7343133036967919,0.2868394736638347,nan,nan,train_dice,0.2868394736638347,0.0007120801469050669,0.00021362404407152007,7.120801469050669e-05
train,56,0.7365432489847502,0.3030855433207392,nan,nan,train_dice,0.3030855433207392,0.0007054009052208601,0.00021162027156625802,7.054009052208601e-05
train,57,0.7366672363911292,0.29908930057973576,nan,nan,train_dice,0.29908930057973576,0.0006987146289177426,0.00020961438867532272,6.987146289177425e-05
train,58,0.7377265777877982,0.2948873460791349,nan,nan,train_dice,0.2948873460791349,0.0006920212356288103,0.00020760637068864307,6.920212356288104e-05
train,59,0.7263656554339957,0.2939027041845682,nan,nan,train_dice,0.2939027041845682,0.0006853206411261565,0.00020559619233784693,6.853206411261566e-05
train,60,0.7181592049934111,0.33629133763222796,0.8024964930884766,0.2466466267362526,train_dice,0.33629133763222796,0.000678612759258125,0.0002035838277774375,6.78612759258125e-05
train,61,0.7284697882916085,0.31882415334571523,nan,nan,train_dice,0.31882415334571523,0.0006718975018837345,0.00020156925056512035,6.718975018837345e-05
train,62,0.7306559286416711,0.31380480767267477,nan,nan,train_dice,0.31380480767267477,0.0006651747788041147,0.0001995524336412344,6.651747788041147e-05
train,63,0.7211117783540102,0.31066962593116587,nan,nan,train_dice,0.31066962593116587,0.0006584444976907799,0.00019753334930723394,6.584444976907798e-05
train,64,0.7143743358297493,0.31824424884164304,nan,nan,train_dice,0.31824424884164304,0.0006517065640105604,0.0001955119692031681,6.517065640105604e-05
train,65,0.7144161747775604,0.3220212872723384,nan,nan,train_dice,0.3220212872723384,0.0006449608809469925,0.00019348826428409774,6.449608809469926e-05
train,66,0.7167690341350244,0.303755955187348,nan,nan,train_dice,0.303755955187348,0.0006382073493179594,0.0001914622047953878,6.382073493179594e-05
train,67,0.7130865291497553,0.32994443809253077,nan,nan,train_dice,0.32994443809253077,0.0006314458674893553,0.00018943376024680656,6.314458674893553e-05
train,68,0.7096184537437932,0.3398345184324632,nan,nan,train_dice,0.3398345184324632,0.0006246763312845333,0.00018740289938536,6.246763312845333e-05
train,69,0.7155777505482105,0.3437870352085864,nan,nan,train_dice,0.3437870352085864,0.0006178986338892777,0.0001853695901667833,6.178986338892778e-05
