Run log for fold 0
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_0
Dataset summary: total=522, lesion_positive=302, lesion_empty=220, dmri=216
Train split summary: total=469, lesion_positive=271, lesion_empty=198, dmri=195
Val split summary: total=53, lesion_positive=31, lesion_empty=22, dmri=21
Case sampling: enabled=False, target_positive_fraction=nan, target_empty_fraction=nan, positive_weight=nan, empty_weight=nan, num_samples=469, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	50	full	0.727975	0.395818	0.688545	0.432940	val_dice	0.432940	0.00000000	0.00000000	0.00008569
train	51	full	0.722080	0.442081	0.718401	0.477284	val_dice	0.477284	0.00000000	0.00000000	0.00008538
train	52	full	0.712757	0.425951	0.701066	0.363302	val_dice	0.363302	0.00000000	0.00000000	0.00008507
train	53	full	0.714208	0.399397	0.720101	0.287497	val_dice	0.287497	0.00000000	0.00000000	0.00008476
train	54	full	0.705453	0.397382	0.701028	0.346301	val_dice	0.346301	0.00000000	0.00000000	0.00008446
train	55	full	0.704472	0.404353	0.688094	0.358042	val_dice	0.358042	0.00000000	0.00000000	0.00008415
train	56	full	0.708784	0.388822	0.711136	0.522538	val_dice	0.522538	0.00000000	0.00000000	0.00008384
saved	56	full	0.708784	0.388822	0.711136	0.522538
train	57	full	0.709977	0.435087	0.706794	0.433817	val_dice	0.433817	0.00000000	0.00000000	0.00008353
train	58	full	0.718669	0.423239	0.697454	0.441213	val_dice	0.441213	0.00000000	0.00000000	0.00008322
train	59	full	0.713940	0.456837	0.688541	0.414877	val_dice	0.414877	0.00000000	0.00000000	0.00008292
train	60	full	0.703866	0.444376	0.686342	0.414967	val_dice	0.414967	0.00000000	0.00000000	0.00008261
train	61	full	0.715411	0.429178	0.728729	0.430604	val_dice	0.430604	0.00000000	0.00000000	0.00008230
train	62	full	0.714708	0.438402	0.698082	0.442209	val_dice	0.442209	0.00000000	0.00000000	0.00008199
train	63	full	0.710512	0.370351	0.689398	0.411372	val_dice	0.411372	0.00000000	0.00000000	0.00008168
train	64	full	0.706085	0.446262	0.684321	0.453272	val_dice	0.453272	0.00000000	0.00000000	0.00008137
train	65	full	0.704960	0.460841	0.690414	0.448160	val_dice	0.448160	0.00000000	0.00000000	0.00008106
train	66	full	0.705716	0.451193	0.685597	0.417717	val_dice	0.417717	0.00000000	0.00000000	0.00008075
train	67	full	0.705769	0.410670	0.705294	0.337380	val_dice	0.337380	0.00000000	0.00000000	0.00008045
train	68	full	0.716648	0.357671	0.695975	0.330648	val_dice	0.330648	0.00000000	0.00000000	0.00008014
train	69	full	0.701261	0.483130	0.684273	0.322762	val_dice	0.322762	0.00000000	0.00000000	0.00007983
train	70	full	0.696664	0.394304	0.691365	0.352487	val_dice	0.352487	0.00000000	0.00000000	0.00007952
train	71	full	0.715417	0.430161	0.681988	0.477100	val_dice	0.477100	0.00000000	0.00000000	0.00007921
train	72	full	0.692717	0.478422	0.695661	0.387122	val_dice	0.387122	0.00000000	0.00000000	0.00007890
train	73	full	0.693164	0.448711	0.696530	0.517134	val_dice	0.517134	0.00000000	0.00000000	0.00007859
train	74	full	0.687538	0.459306	0.686056	0.379266	val_dice	0.379266	0.00000000	0.00000000	0.00007828
train	75	full	0.696989	0.464100	0.695022	0.519057	val_dice	0.519057	0.00000000	0.00000000	0.00007797
train	76	full	0.704618	0.444882	0.671692	0.447938	val_dice	0.447938	0.00000000	0.00000000	0.00007766
train	77	full	0.689746	0.475193	0.723010	0.344428	val_dice	0.344428	0.00000000	0.00000000	0.00007734
train	78	full	0.696342	0.408500	0.700162	0.476850	val_dice	0.476850	0.00000000	0.00000000	0.00007703
train	79	full	0.700721	0.442649	0.689268	0.449219	val_dice	0.449219	0.00000000	0.00000000	0.00007672
train	80	full	0.701559	0.439989	0.683911	0.323718	val_dice	0.323718	0.00000000	0.00000000	0.00007641
train	81	full	0.695471	0.420749	0.671531	0.466284	val_dice	0.466284	0.00000000	0.00000000	0.00007610
train	82	full	0.696132	0.390178	0.702364	0.379207	val_dice	0.379207	0.00000000	0.00000000	0.00007579
train	83	full	0.690213	0.440043	0.706495	0.393263	val_dice	0.393263	0.00000000	0.00000000	0.00007548
train	84	full	0.698003	0.466641	0.686363	0.396089	val_dice	0.396089	0.00000000	0.00000000	0.00007517
train	85	full	0.691639	0.453911	0.688674	0.411172	val_dice	0.411172	0.00000000	0.00000000	0.00007485
train	86	full	0.670342	0.474936	0.691694	0.559580	val_dice	0.559580	0.00000000	0.00000000	0.00007454
saved	86	full	0.670342	0.474936	0.691694	0.559580
train	87	full	0.689854	0.485854	0.687991	0.486530	val_dice	0.486530	0.00000000	0.00000000	0.00007423
train	88	full	0.685671	0.455213	0.700694	0.381539	val_dice	0.381539	0.00000000	0.00000000	0.00007392
train	89	full	0.682315	0.480064	0.671975	0.427535	val_dice	0.427535	0.00000000	0.00000000	0.00007361
train	90	full	0.695543	0.487571	0.691004	0.353855	val_dice	0.353855	0.00000000	0.00000000	0.00007329
train	91	full	0.672637	0.557477	0.682260	0.512839	val_dice	0.512839	0.00000000	0.00000000	0.00007298
train	92	full	0.673449	0.516899	0.704514	0.491784	val_dice	0.491784	0.00000000	0.00000000	0.00007267
train	93	full	0.700115	0.496246	0.681074	0.422586	val_dice	0.422586	0.00000000	0.00000000	0.00007235
train	94	full	0.680904	0.496200	0.673423	0.409393	val_dice	0.409393	0.00000000	0.00000000	0.00007204
train	95	full	0.681206	0.434077	0.668342	0.487784	val_dice	0.487784	0.00000000	0.00000000	0.00007173
train	96	full	0.686572	0.522574	0.674425	0.427639	val_dice	0.427639	0.00000000	0.00000000	0.00007141
train	97	full	0.667304	0.495017	0.677409	0.573549	val_dice	0.573549	0.00000000	0.00000000	0.00007110
saved	97	full	0.667304	0.495017	0.677409	0.573549
train	98	full	0.688065	0.493240	0.674747	0.370673	val_dice	0.370673	0.00000000	0.00000000	0.00007079
train	99	full	0.690673	0.458869	0.682440	0.437516	val_dice	0.437516	0.00000000	0.00000000	0.00007047
train	100	full	0.676768	0.485986	0.702300	0.548542	val_dice	0.548542	0.00000000	0.00000000	0.00007016
train	101	full	0.677931	0.492738	0.694454	0.444180	val_dice	0.444180	0.00000000	0.00000000	0.00006984
train	102	full	0.693348	0.500679	0.689185	0.317645	val_dice	0.317645	0.00000000	0.00000000	0.00006953
train	103	full	0.690716	0.494843	0.695132	0.461425	val_dice	0.461425	0.00000000	0.00000000	0.00006922
train	104	full	0.670119	0.541076	0.690199	0.353882	val_dice	0.353882	0.00000000	0.00000000	0.00006890
train	105	full	0.673027	0.517066	0.666483	0.433603	val_dice	0.433603	0.00000000	0.00000000	0.00006859
train	106	full	0.675899	0.518128	0.682118	0.455560	val_dice	0.455560	0.00000000	0.00000000	0.00006827
train	107	full	0.657787	0.524178	0.673313	0.557447	val_dice	0.557447	0.00000000	0.00000000	0.00006796
train	108	full	0.667044	0.546446	0.683819	0.435658	val_dice	0.435658	0.00000000	0.00000000	0.00006764
train	109	full	0.672315	0.549092	0.695821	0.403699	val_dice	0.403699	0.00000000	0.00000000	0.00006733
train	110	full	0.668472	0.523130	0.676348	0.403412	val_dice	0.403412	0.00000000	0.00000000	0.00006701
train	111	full	0.675107	0.490852	0.673134	0.427295	val_dice	0.427295	0.00000000	0.00000000	0.00006669
train	112	full	0.689071	0.479080	0.671127	0.522586	val_dice	0.522586	0.00000000	0.00000000	0.00006638
train	113	full	0.681600	0.573735	0.663825	0.454363	val_dice	0.454363	0.00000000	0.00000000	0.00006606
train	114	full	0.684494	0.521747	0.654805	0.445226	val_dice	0.445226	0.00000000	0.00000000	0.00006575
train	115	full	0.687381	0.504204	0.676534	0.519194	val_dice	0.519194	0.00000000	0.00000000	0.00006543
train	116	full	0.692541	0.505870	0.684013	0.415961	val_dice	0.415961	0.00000000	0.00000000	0.00006511
train	117	full	0.666008	0.502743	0.703197	0.378210	val_dice	0.378210	0.00000000	0.00000000	0.00006479
train	118	full	0.675652	0.541546	0.683589	0.360028	val_dice	0.360028	0.00000000	0.00000000	0.00006448
train	119	full	0.664447	0.569291	0.668059	0.487988	val_dice	0.487988	0.00000000	0.00000000	0.00006416
train	120	full	0.673723	0.514339	0.675389	0.427049	val_dice	0.427049	0.00000000	0.00000000	0.00006384
train	121	full	0.668126	0.521568	0.659133	0.421394	val_dice	0.421394	0.00000000	0.00000000	0.00006353
train	122	full	0.672534	0.578509	0.673916	0.613752	val_dice	0.613752	0.00000000	0.00000000	0.00006321
saved	122	full	0.672534	0.578509	0.673916	0.613752
train	123	full	0.671062	0.528895	0.676894	0.591709	val_dice	0.591709	0.00000000	0.00000000	0.00006289
train	124	full	0.660080	0.582578	0.675240	0.422458	val_dice	0.422458	0.00000000	0.00000000	0.00006257
train	125	full	0.674236	0.511086	0.675556	0.553823	val_dice	0.553823	0.00000000	0.00000000	0.00006225
train	126	full	0.676266	0.500141	0.675582	0.537113	val_dice	0.537113	0.00000000	0.00000000	0.00006194
train	127	full	0.660219	0.529040	0.676452	0.460465	val_dice	0.460465	0.00000000	0.00000000	0.00006162
train	128	full	0.667934	0.589654	0.664541	0.510401	val_dice	0.510401	0.00000000	0.00000000	0.00006130
train	129	full	0.661051	0.515237	0.672542	0.447641	val_dice	0.447641	0.00000000	0.00000000	0.00006098
train	130	full	0.646739	0.563071	0.655486	0.428444	val_dice	0.428444	0.00000000	0.00000000	0.00006066
train	131	full	0.646295	0.595787	0.658215	0.441519	val_dice	0.441519	0.00000000	0.00000000	0.00006034
train	132	full	0.664105	0.536535	0.666509	0.376395	val_dice	0.376395	0.00000000	0.00000000	0.00006002
train	133	full	0.680696	0.531470	0.659178	0.496613	val_dice	0.496613	0.00000000	0.00000000	0.00005970
train	134	full	0.670893	0.556700	0.674924	0.406839	val_dice	0.406839	0.00000000	0.00000000	0.00005938
train	135	full	0.660023	0.575726	0.664436	0.378952	val_dice	0.378952	0.00000000	0.00000000	0.00005906
train	136	full	0.661095	0.552027	0.660944	0.477373	val_dice	0.477373	0.00000000	0.00000000	0.00005874
train	137	full	0.661183	0.541373	0.667881	0.563024	val_dice	0.563024	0.00000000	0.00000000	0.00005842
train	138	full	0.653592	0.529412	0.655820	0.538098	val_dice	0.538098	0.00000000	0.00000000	0.00005810
train	139	full	0.654604	0.579757	0.672890	0.426444	val_dice	0.426444	0.00000000	0.00000000	0.00005778
train	140	full	0.667746	0.527947	0.674121	0.443738	val_dice	0.443738	0.00000000	0.00000000	0.00005746
train	141	full	0.667691	0.484769	0.666763	0.453211	val_dice	0.453211	0.00000000	0.00000000	0.00005714
train	142	full	0.647967	0.543031	0.657249	0.480404	val_dice	0.480404	0.00000000	0.00000000	0.00005681
train	143	full	0.663576	0.535879	0.674414	0.483423	val_dice	0.483423	0.00000000	0.00000000	0.00005649
train	144	full	0.651428	0.584792	0.662835	0.530407	val_dice	0.530407	0.00000000	0.00000000	0.00005617
train	145	full	0.656286	0.562954	0.682224	0.435710	val_dice	0.435710	0.00000000	0.00000000	0.00005585
train	146	full	0.661082	0.549039	0.673218	0.577270	val_dice	0.577270	0.00000000	0.00000000	0.00005553
train	147	full	0.640435	0.601955	0.665503	0.488566	val_dice	0.488566	0.00000000	0.00000000	0.00005520
train	148	full	0.662489	0.524155	0.664698	0.395766	val_dice	0.395766	0.00000000	0.00000000	0.00005488
train	149	full	0.669336	0.553822	0.667025	0.525840	val_dice	0.525840	0.00000000	0.00000000	0.00005456
train	150	full	0.660993	0.557997	0.654769	0.482346	val_dice	0.482346	0.00000000	0.00000000	0.00005424
train	151	full	0.660090	0.597281	0.671501	0.561220	val_dice	0.561220	0.00000000	0.00000000	0.00005391
train	152	full	0.655576	0.569726	0.675356	0.482043	val_dice	0.482043	0.00000000	0.00000000	0.00005359
train	153	full	0.656677	0.564262	0.679785	0.514941	val_dice	0.514941	0.00000000	0.00000000	0.00005326
train	154	full	0.653042	0.533384	0.667535	0.470688	val_dice	0.470688	0.00000000	0.00000000	0.00005294
train	155	full	0.644857	0.588788	0.662440	0.587340	val_dice	0.587340	0.00000000	0.00000000	0.00005262
