threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.1,0,0020,0.3118405627198124,0.3715083798882682,0.2686868686868687,495,tiny,358,tiny,133,225,362,0,0
0.1,3,0020,0.3118405627198124,0.3715083798882682,0.2686868686868687,495,tiny,358,tiny,133,225,362,0,0
0.1,5,0020,0.3118405627198124,0.3715083798882682,0.2686868686868687,495,tiny,358,tiny,133,225,362,0,0
0.15,0,0020,0.297719087635054,0.3668639053254438,0.2505050505050505,495,tiny,338,tiny,124,214,371,0,0
0.15,3,0020,0.297719087635054,0.3668639053254438,0.2505050505050505,495,tiny,338,tiny,124,214,371,0,0
0.15,5,0020,0.297719087635054,0.3668639053254438,0.2505050505050505,495,tiny,338,tiny,124,214,371,0,0
0.2,0,0020,0.2871046228710462,0.36085626911314983,0.2383838383838384,495,tiny,327,tiny,118,209,377,0,0
0.2,3,0020,0.2871046228710462,0.36085626911314983,0.2383838383838384,495,tiny,327,tiny,118,209,377,0,0
0.2,5,0020,0.2871046228710462,0.36085626911314983,0.2383838383838384,495,tiny,327,tiny,118,209,377,0,0
0.25,0,0020,0.2779827798277983,0.3553459119496855,0.22828282828282828,495,tiny,318,tiny,113,205,382,0,0
0.25,3,0020,0.2779827798277983,0.3553459119496855,0.22828282828282828,495,tiny,318,tiny,113,205,382,0,0
0.25,5,0020,0.2779827798277983,0.3553459119496855,0.22828282828282828,495,tiny,318,tiny,113,205,382,0,0
0.1,0,0021,0.7861635220125787,0.6830601092896175,0.9259259259259259,135,tiny,183,tiny,125,58,10,0,0
0.1,3,0021,0.7861635220125787,0.6830601092896175,0.9259259259259259,135,tiny,183,tiny,125,58,10,0,0
0.1,5,0021,0.7861635220125787,0.6830601092896175,0.9259259259259259,135,tiny,183,tiny,125,58,10,0,0
0.15,0,0021,0.8051948051948052,0.7167630057803468,0.9185185185185185,135,tiny,173,tiny,124,49,11,0,0
0.15,3,0021,0.8051948051948052,0.7167630057803468,0.9185185185185185,135,tiny,173,tiny,124,49,11,0,0
0.15,5,0021,0.8051948051948052,0.7167630057803468,0.9185185185185185,135,tiny,173,tiny,124,49,11,0,0
0.2,0,0021,0.8079470198675497,0.7305389221556886,0.9037037037037037,135,tiny,167,tiny,122,45,13,0,0
0.2,3,0021,0.8079470198675497,0.7305389221556886,0.9037037037037037,135,tiny,167,tiny,122,45,13,0,0
0.2,5,0021,0.8160535117056856,0.7439024390243902,0.9037037037037037,135,tiny,164,tiny,122,42,13,0,0
0.25,0,0021,0.8148148148148148,0.7469135802469136,0.8962962962962963,135,tiny,162,tiny,121,41,14,0,0
0.25,3,0021,0.8148148148148148,0.7469135802469136,0.8962962962962963,135,tiny,162,tiny,121,41,14,0,0
0.25,5,0021,0.8231292517006803,0.7610062893081762,0.8962962962962963,135,tiny,159,tiny,121,38,14,0,0
0.1,0,0029,0.6011278768480415,0.5348521833468945,0.686151704940849,2898,small,3687,small,1972,1715,902,0,0
0.1,3,0029,0.6017699115044248,0.5358695652173913,0.686151704940849,2898,small,3680,small,1972,1708,902,0,0
0.1,5,0029,0.601802352222392,0.5363463109175062,0.6854558107167711,2898,small,3673,small,1970,1703,904,0,0
0.15,0,0029,0.6053329175113051,0.5484600169539418,0.675365344467641,2898,small,3539,small,1941,1598,933,0,0
0.15,3,0029,0.6056821729628473,0.549263873159683,0.675017397355602,2898,small,3532,small,1940,1592,934,0,0
0.15,5,0029,0.6060606060606061,0.5498866213151927,0.675017397355602,2898,small,3528,small,1940,1588,934,0,0
0.2,0,0029,0.6095389507154213,0.5611826697892272,0.6670146137787056,2898,small,3416,small,1917,1499,957,0,0
0.2,3,0029,0.6100238663484487,0.5620052770448549,0.6670146137787056,2898,small,3411,small,1917,1494,957,0,0
0.2,5,0029,0.6107040458744823,0.5631609870740305,0.6670146137787056,2898,small,3404,small,1917,1487,957,0,0
0.25,0,0029,0.6135922330097088,0.573502722323049,0.6597077244258872,2898,small,3306,small,1896,1410,978,0,0
0.25,3,0029,0.6137651821862348,0.5740684641017874,0.6593597773138483,2898,small,3301,small,1895,1406,979,0,0
0.25,5,0029,0.6140635126377187,0.5745906610066707,0.6593597773138483,2898,small,3298,small,1895,1403,979,0,0
0.1,0,0036,0.5201389782524771,0.570098730606488,0.4782300047326077,4226,small,3545,small,2021,1524,2205,0,0
0.1,3,0036,0.5197681905988409,0.5702175755863238,0.477520113582584,4226,small,3539,small,2018,1521,2208,0,0
0.1,5,0036,0.5201701250161104,0.5711859609397113,0.477520113582584,4226,small,3533,small,2018,1515,2208,0,0
0.15,0,0036,0.5185766614338043,0.5798712697483909,0.46900141978230003,4226,small,3418,small,1982,1436,2244,0,0
0.15,3,0036,0.5185282178866046,0.5804749340369393,0.4685281590156176,4226,small,3411,small,1980,1431,2246,0,0
0.15,5,0036,0.5185282178866046,0.5804749340369393,0.4685281590156176,4226,small,3411,small,1980,1431,2246,0,0
0.2,0,0036,0.5178666666666667,0.5931582162492364,0.45953620444865123,4226,small,3274,small,1942,1332,2284,0,0
0.2,3,0036,0.5178762006403416,0.5935779816513761,0.45929957406530997,4226,small,3270,small,1941,1329,2285,0,0
0.2,5,0036,0.5178762006403416,0.5935779816513761,0.45929957406530997,4226,small,3270,small,1941,1329,2285,0,0
