threshold,min_component_voxels,n_cases,mean_dice_all,mean_dice_positive,mean_dice_gt50,n_positive,n_gt50,n_missed_positive,n_empty_false_positive,mean_dice_empty,n_empty,mean_dice_very_tiny,n_very_tiny,mean_dice_tiny,n_tiny,mean_dice_small,n_small,mean_dice_large,n_large
0.075,0,66,0.5447165708974232,0.5447165708974232,0.5431878273743314,66,64,0,0,nan,0,0.5936363636363636,2,0.36288055856908086,24,0.5493351529743212,18,0.734857036034613,22
0.075,3,66,0.5445116465265915,0.5445116465265915,0.542976499116911,66,64,3,0,nan,0,0.5936363636363636,2,0.3622473406557634,24,0.5493761022483915,18,0.7348995421487697,22
0.1,0,66,0.545334501763823,0.545334501763823,0.5438258895186271,66,64,0,0,nan,0,0.5936100936100936,2,0.3626510959298914,24,0.5500522080759453,18,0.7363768582503514,22
0.1,3,66,0.5450166743192941,0.5450166743192941,0.5434981299664566,66,64,3,0,nan,0,0.5936100936100936,2,0.3618678788688834,24,0.5498436215093396,18,0.7364484562650869,22
0.125,0,66,0.5439441525365284,0.5439441525365284,0.5420189888793215,66,64,1,0,nan,0,0.6055493895671475,2,0.35679021596304966,24,0.5502777077354432,18,0.7373296075420643,22
0.125,3,66,0.5431609459508754,0.5431609459508754,0.541211307087867,66,64,4,0,nan,0,0.6055493895671475,2,0.35461220160421764,24,0.5503225012101787,18,0.7373193542426842,22
